"bin","T_y","T_by","T_diff","beta_low","effect_fa_low","effect_na_low","beta_high","effect_fa_high","effect_na_high"
"(-45,-44]","0","0","0","-3.73351","0","0","-237.03669","0","0"
"(-44,-43]","0","0","0","-3.68129","0","0","-233.72149","0","0"
"(-43,-42]","0","0","0","-3.62907","0","0","-230.4063","0","0"
"(-42,-41]","0","0","0","-3.57686","0","0","-227.0911","0","0"
"(-41,-40]","0","0","0","-3.52464","0","0","-223.7759","0","0"
"(-40,-39]","0","0","0","-3.47242","0","0","-220.4607","0","0"
"(-39,-38]","0","0","0","-3.42021","0","0","-217.1455","0","0"
"(-38,-37]","0","0","0","-3.36799","0","0","-213.8303","0","0"
"(-37,-36]","0","0","0","-3.31577","0","0","-210.5151","0","0"
"(-36,-35]","0","0","0","-3.26355","3.26355","0","-207.19991","207.19991","0"
"(-35,-34]","0","0","0","-3.21134","0","6.42268","-203.88471","0","407.76941"
"(-34,-33]","0","3","-3","-3.15912","3.15912","6.31824","-200.56951","200.56951","401.13902"
"(-33,-32]","0","4","-4","-3.1069","6.21381","9.32071","-197.25431","394.50862","591.76293"
"(-32,-31]","0","3","-3","-3.05469","9.16406","6.10937","-193.93911","581.81734","387.87822"
"(-31,-30]","0","6","-6","-3.00247","36.02965","9.00741","-190.62391","2287.48696","571.87174"
"(-30,-29]","0","9","-9","-2.95025","32.45279","11.80101","-187.30871","2060.39586","749.23486"
"(-29,-28]","0","5","-5","-2.89804","17.38822","11.59215","-183.99352","1103.9611","735.97407"
"(-28,-27]","0","4","-4","-2.84582","19.92074","22.76656","-180.67832","1264.74822","1445.42654"
"(-27,-26]","0","6","-6","-2.7936","16.76162","36.31684","-177.36312","1064.17872","2305.72055"
"(-26,-25]","0","2","-2","-2.74139","16.44832","21.93109","-174.04792","1044.28753","1392.38337"
"(-25,-24]","7","2","5","-2.68917","-10.75668","5.37834","-170.73272","-682.93089","341.46544"
"(-24,-23]","2","2","0","-2.63695","-13.18476","21.09562","-167.41752","-837.08762","1339.34019"
"(-23,-22]","3","5","-2","-2.58474","-7.75421","23.26262","-164.10233","-492.30698","1476.92093"
"(-22,-21]","4","6","-2","-2.53252","-10.13007","17.72763","-160.78713","-643.14851","1125.50989"
"(-21,-20]","8","13","-5","-2.4803","27.28332","-12.40151","-157.47193","1732.19121","-787.35964"
"(-20,-19]","5","11","-6","-2.42808","21.85276","16.99659","-154.15673","1387.41057","1079.09711"
"(-19,-18]","2","10","-8","-2.37587","23.75868","4.75174","-150.84153","1508.41531","301.68306"
"(-18,-17]","8","5","3","-2.32365","-9.2946","-2.32365","-147.52633","-590.10533","-147.52633"
"(-17,-16]","8","9","-1","-2.27143","-4.54287","0","-144.21113","-288.42227","0"
"(-16,-15]","9","9","0","-2.21922","-2.21922","-8.87687","-140.89594","-140.89594","-563.58374"
"(-15,-14]","13","8","5","-2.167","-13.002","-17.336","-137.58074","-825.48442","-1100.6459"
"(-14,-13]","9","15","-6","-2.11478","8.45913","-4.22957","-134.26554","537.06216","-268.53108"
"(-13,-12]","16","4","12","-2.06257","-30.9385","-22.68823","-130.95034","-1964.25511","-1440.45374"
"(-12,-11]","8","6","2","-2.01035","-12.0621","-2.01035","-127.63514","-765.81085","-127.63514"
"(-11,-10]","7","5","2","-1.95813","3.91627","-11.7488","-124.31994","248.63989","-745.91966"
"(-10,-9]","13","9","4","-1.90592","-24.77691","-7.62366","-121.00474","-1573.06168","-484.01898"
"(-9,-8]","9","5","4","-1.8537","0","-12.97589","-117.68955","0","-823.82683"
"(-8,-7]","11","8","3","-1.80148","-5.40445","-12.61038","-114.37435","-343.12304","-800.62044"
"(-7,-6]","9","3","6","-1.74927","10.49559","-8.74633","-111.05915","666.3549","-555.29575"
"(-6,-5]","4","3","1","-1.69705","10.18229","3.3941","-107.74395","646.46371","215.4879"
"(-5,-4]","8","5","3","-1.64483","-14.80348","4.93449","-104.42875","-939.85877","313.28626"
"(-4,-3]","3","8","-5","-1.59261","4.77784","15.92615","-101.11355","303.34066","1011.13554"
