"","bin","T[2099]","T[2015]","T[diff]","beta^F","beta^I","beta^N","beta^F*T[2099]-beta^I*T[2015]","beta^I*T[2099]-beta^I*T[2015]","beta^N*T[2099]-beta^N*T[2015]"
"1","(-4,-3]","0","1","-1","14.93","14.93","7.78","-14.93","-14.93","-7.78"
"2","(-3,-2]","0","7","-7","14.44","14.44","7.53","-101.09","-101.09","-52.7"
"3","(-2,-1]","0","5","-5","13.95","13.95","7.27","-69.76","-69.76","-36.37"
"4","(-1,0]","1","5","-4","13.46","13.46","7.02","-53.85","-53.85","-28.08"
"5","(0,1]","3","16","-13","12.97","12.97","6.76","-168.65","-168.65","-87.93"
"6","(1,2]","3","14","-11","12.48","12.48","6.51","-137.32","-137.32","-71.59"
"7","(2,3]","6","11","-5","11.99","11.99","6.25","-59.97","-59.97","-31.27"
"8","(3,4]","6","8","-2","11.5","11.5","6","-23.01","-23.01","-12"
"9","(4,5]","2","9","-7","11.02","11.02","5.74","-77.11","-77.11","-40.2"
"10","(5,6]","4","10","-6","10.53","10.53","5.49","-63.15","-63.15","-32.92"
"11","(6,7]","7","10","-3","10.04","10.04","5.23","-30.11","-30.11","-15.7"
"12","(7,8]","11","14","-3","9.55","9.55","4.98","-28.64","-28.64","-14.93"
"13","(8,9]","14","15","-1","9.06","9.06","4.72","-9.06","-9.06","-4.72"
"14","(9,10]","9","11","-2","8.57","8.57","4.47","-17.13","-17.13","-8.93"
"15","(10,11]","9","8","1","8.08","8.08","4.21","8.08","8.08","4.21"
"16","(11,12]","14","6","8","7.59","7.59","3.96","60.71","60.71","31.65"
"17","(12,13]","8","9","-1","7.1","7.1","3.7","-7.1","-7.1","-3.7"
"18","(13,14]","15","2","13","6.61","6.61","3.45","85.92","85.92","44.79"
"19","(14,15]","8","4","4","6.12","6.12","3.19","24.48","24.48","12.76"
"20","(15,16]","8","2","6","5.63","5.63","2.94","33.78","33.78","17.61"
"21","(16,17]","5","3","2","5.14","5.14","2.68","10.28","10.28","5.36"
"22","(17,18]","4","7","-3","4.65","4.65","2.42","-13.95","-13.95","-7.27"
"23","(18,19]","5","3","2","4.16","4.16","2.17","8.32","8.32","4.34"
"24","(19,20]","11","12","-1","3.67","3.67","1.91","-3.67","-3.67","-1.91"
"25","(20,21]","12","7","5","3.18","3.18","1.66","15.91","15.91","8.29"
"26","(21,22]","12","11","1","2.69","2.69","1.4","2.69","2.69","1.4"
"27","(22,23]","7","5","2","2.2","2.2","1.15","4.41","4.41","2.3"
"28","(23,24]","5","15","-10","1.71","1.71","0.89","-17.13","-17.13","-8.93"
"29","(24,25]","10","16","-6","1.22","1.22","0.64","-7.34","-7.34","-3.83"
"30","(25,26]","11","17","-6","0.73","0.73","0.38","-4.41","-4.41","-2.3"
"31","(26,27]","9","16","-7","0.24","0.24","0.13","-1.71","-1.71","-0.89"
"32","(27,28]","10","17","-7","-0.24","-0.24","-0.13","1.71","1.71","0.89"
"33","(28,29]","12","15","-3","-0.7","-0.7","-0.36","2.11","2.11","1.09"
"34","(29,30]","16","17","-1","-1.08","-1.08","-0.55","1.08","1.08","0.55"
"35","(30,31]","15","11","4","-1.31","-1.31","-0.65","-5.26","-5.26","-2.59"
"36","(31,32]","20","10","10","-1.36","-1.36","-0.62","-13.55","-13.55","-6.24"
"37","(32,33]","20","5","15","-1.14","-1.14","-0.45","-17.17","-17.17","-6.68"
"38","(33,34]","14","3","11","-0.63","-0.63","-0.08","-6.9","-6.9","-0.85"
"39","(34,35]","7","8","-1","0.25","0.25","0.52","-0.25","-0.25","-0.52"
"40","(35,36]","6","0","6","1.55","1.55","1.37","9.32","9.32","8.2"
"41","(36,37]","13","0","13","3.33","3.33","2.51","43.24","43.24","32.66"
"42","(37,38]","10","0","10","5.62","5.62","3.98","56.23","56.23","39.82"
"43","(38,39]","2","0","2","8.33","8.33","5.71","16.66","16.66","11.41"
"44","(39,40]","1","0","1","11.19","11.19","7.52","11.19","11.19","7.52"
"45","Total <20C","","","","","","","-646.93","-646.93","-337.28"
"46","Total >20C","","","","","","","90.83","90.83","81.3"
"47","Total","","","","","","","-556.1","-556.1","-255.98"
