0,Growing of cereal crops  ,,,,,,,,,,,,
0.1,Growing of cereal crops - high yielding or improved varieties,,,,,,,,,,,,
0.2,Growing of cereal crops -other than high yielding or improved varieties,,,,,,,,,,,,
1,"Growing of Pulses (arhar, gram,moong,urd, etc.)",,,,,,,,,,,,
2,Growing of Cotton,,,,,,,,,,,,
2.1,Growing of Cotton - long staple varieties,,,,,,,,,,,,
2.2,Growing of Cotton - other than long staple varieties,,,,,,,,,,,,
3,"Growing of Jute,Mesta,sann hemp or other kindred fibres",,,,,,,,,,,,
3.1,Growing of Jute or Mesta,,,,,,,,,,,,
3.2,Growing of sann hemp or other kindred fibres,,,,,,,,,,,,
4,Growing of oilseeds,,,,,,,,,,,,
4.1,Growing of groundnuts - high yielding varieties,,,,,,,,,,,,
4.2,Growing of groundnuts - other than high yielding varieties,,,,,,,,,,,,
4.3,Growing of mustard or rapeseed,,,,,,,,,,,,
4.4,Growing of linseed or castor-seed,,,,,,,,,,,,
4.9,Growing of other oilseeds. n.e.c.,,,,,,,,,,,,
5,Growing of sugarcane of sugarbeet,,,,,,,,,,,,
6,"Growing of roots and tubers, vegetables,singhara,chillies and other spices (other than pepper and cardamom)",,,,,,,,,,,,
6.1,Growing of potatoes,,,,,,,,,,,,
6.2,Growing of roots and tubers other than potatoes,,,,,,,,,,,,
6.3,"Growing of vegetables, singhara, chillies and spices (other than pepper and cardamom)",,,,,,,,,,,,
7,Floriculture and horticulture including tree nurseries,,,,,,,,,,,,
8,Growing of fodder crops,,,,,,,,,,,,
9,Agricultural production n.e.c.,,,,,,,,,,,,
9.1,Growing of medicinal plants,,,,,,,,,,,,
9.9,Other agricultural production n.e.c.,,,,,,,,,,,,
10,Plantation of tea,,,,,,,,,,,,
11,Plantation of coffee,,,,,,,,,,,,
12,Plantation of rubber,,,,,,,,,,,,
13,Plantation of tobacco,,,,,,,,,,,,
13.1,Plantation of tobacco - high narcotic and tar content,,,,,,,,,,,,
13.2,Plantation of tobacco - other than narcotic and tar content,,,,,,,,,,,,
14,Plantation of pepper and cardamom,,,,,,,,,,,,
14.1,Plantation of pepper,,,,,,,,,,,,
14.2,Plantation of cardamom,,,,,,,,,,,,
15,Plantation of coconut and arecanut,,,,,,,,,,,,
15.1,Plantation of coconut,,,,,,,,,,,,
15.2,Plantation of arecanut,,,,,,,,,,,,
16,Plantation of edible nuts (excluding coconut and groundnut),,,,,,,,,,,,
16.1,Plantation of cashewnut,,,,,,,,,,,,
16.2,Plantation of walnut,,,,,,,,,,,,
16.3,Plantation of almond,,,,,,,,,,,,
