temp,yhat,se_hi,lowerci_hi,upperci_hi
-27,-.034701388,.58220071,-1.1757938,1.106391
-26,.0086339731,.51588523,-1.0024825,1.0197505
-25,.051109735,.45540318,-.8414641,.94368356
-24,.092608705,.40044048,-.69224024,.87745762
-23,.1330208,.35069397,-.55432671,.82036835
-22,.17224306,.30587167,-.42725438,.7717405
-21,.21017961,.26569319,-.31056947,.73092866
-20,.24674173,.22988982,-.20383406,.69731754
-19,.28184777,.19820455,-.106626,.67032152
-18,.31542322,.17039131,-.018537601,.64938402
-17,.34740067,.14621343,.060827605,.63397372
-16,.37771982,.12544021,.13186151,.62357813
-15,.40632749,.10784083,.19496334,.61769164
-14,.43317759,.093174927,.25055808,.6157971
-13,.45823118,.081180304,.29912072,.61734164
-12,.48145643,.071560584,.34120026,.62171257
-11,.50282854,.063978992,.37743202,.62822509
-10,.52232999,.058065202,.40852425,.63613564
-9,.53995013,.053437702,.43521416,.6446861
-8,.55568564,.049735442,.458206,.65316534
-7,.56954026,.046647049,.47811374,.66096681
-6,.58152479,.043928131,.49542722,.66762233
-5,.59165716,.041404683,.51050544,.67280883
-4,.59996235,.038966298,.52358985,.67633492
-3,.60647261,.036554568,.53482699,.67811829
-2,.61122721,.034150623,.54429322,.6781612
-1,.61427248,.031763896,.55201638,.67652857
0,.61566198,.029422825,.55799431,.67332965
1,.61545622,.02716724,.56220943,.66870308
2,.61372304,.025041958,.56464171,.66280437
3,.61053717,.023091013,.5652796,.65579474
4,.60598063,.02135209,.56413132,.64782995
5,.60014242,.01985117,.56123483,.63905001
6,.59311873,.018598042,.55666721,.62957025
7,.58501285,.017583959,.55054891,.6194768
8,.57593513,.01678274,.54304159,.60882872
9,.56600314,.016155658,.53433865,.59766763
10,.55534142,.015658984,.52465039,.58603251
11,.54408175,.015251958,.51418847,.57397509
12,.532363,.014903194,.50315326,.56157273
13,.52033103,.01459437,.49172661,.54893547
14,.50813895,.014320942,.48007044,.5362075
15,.49594697,.014090069,.46833095,.52356297
16,.48392233,.013916007,.45664746,.51119721
17,.47223943,.01381341,.44516563,.49931321
18,.46107981,.013789566,.43405274,.48810685
19,.45063207,.013837336,.42351139,.47775275
20,.44109195,.013930856,.41378796,.46839592
21,.43266231,.014025553,.40517274,.46015188
22,.42555308,.014062828,.39799047,.45311573
23,.41998139,.01397942,.39258221,.44738054
24,.41617134,.013722661,.38927543,.44306728
25,.41435432,.013276799,.38833228,.44037637
26,.41476867,.012712454,.3898527,.4396846
27,.41765991,.012276554,.39359832,.4417215
28,.42328069,.012501567,.39877808,.44778332
29,.43189079,.014146117,.40416488,.45961666
30,.443757,.017791748,.40888581,.47862816
31,.45915329,.023597198,.41290364,.50540298
32,.4783608,.031531926,.41655937,.54016227
33,.50166768,.041598346,.42013642,.58319896
34,.52936924,.053874519,.42377713,.63496137
35,.56176788,.068495877,.42751846,.69601732
36,.59917319,.085635528,.43133062,.7670157
37,.64190167,.10549205,.43514109,.84866232
38,.69027722,.12828255,.43884808,.94170642
39,.74463069,.15423889,.44232798,1.0469334
40,.80529994,.18360548,.44543982,1.1651601
41,.87263018,.21663791,.44802764,1.2972326
42,.9469735,.25360233,.44992208,1.4440249
43,1.0286893,.2947748,.45094132,1.6064373
